name,locale,all_characters,character_count,source_file,sub_code
Ukrainian,uk-UA," !""%()*+-./0123456789:;=?\_ЁЄІЇАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЬЮЯабвгдежзийклмнопрстуфхцчшщьюяёєіїҐґ№",97,KBDUR.ldml,KBDUR
Georgian (QWERTY),ka-GE," !""#$%&'()*+-./0123456789:;<=>?@N[\]^_{|}~©«®°»აბგდევზთიკლმნოპჟრსტუფქღყშჩცძწჭხჯჰჱჲჳჴჵჶჷჸჹჺ჻ჼ–—“„€₾",99,kbdgeoqw.ldml,kbdgeoqw
Ol Chiki,sat-Olck, -.᱐᱑᱒᱓᱔᱕᱖᱗᱘᱙ᱚᱛᱜᱝᱞᱟᱠᱡᱢᱣᱤᱥᱦᱧᱨᱩᱪᱫᱬᱭᱮᱯᱰᱱᱲᱳᱴᱵᱶᱷᱸᱹᱺᱻᱼᱽ᱾᱿₹,53,KBDOLCH.ldml,KBDOLCH
US English Table for IBM Arabic 238_L,en-US," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}~",95,KBDUSA.ldml,KBDUSA
Sinhala,si-LK," !""$%&'()*+-./0123456789:;=?@\u{DCA}‍ය\u{DCA}‍ර^_ ංඃඅආඇඈඉඊඋඌඍඎඏඐඑඒඓඔඕඖකඛගඝඞඟචඡජඣඤඥඦටඨඩඪණඬතථදධනඳපඵබභමඹයරර\u{DCA}‍ලවශෂසහළළ\u{DD4}ෆ්ාැෑිීුූෘෙේෛොෝෞෟෲෳ෴‍",118,KBDSN1.ldml,KBDSN1
Azerbaijani Latin,az-Latn-AZ," !""%()*+-./0123456789:;=?@ABCDEFGHIJKLMNOPQRSTUVXYZ\_`abcdefghijklmnopqrstuvxyz~ÇÖÜçöüĞğİıŞşƏə₼№",97,KBDAZEL.ldml,KBDAZEL
Sorbian Standard,hsb-DE," !""#$%&'()*+-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\\m{^}\m{`}\m{´}]_abcdefghijklmnopqrstuvwxyz{|}~§°²³µÄÖÜßäöü€",109,KBDSORS1.ldml,KBDSORS1
Tatar (Legacy),tt-RU," !""#$%'()*+-./0123456789:;<=>?@[\]_{}ЁАБВГДЕЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдежзийклмнопрстуфхцчшщъыьэюяёҐґҒғҖҗҠҡҢңҮүҺһӘәӨө₽№",124,KBDTAT.ldml,KBDTAT
Azerbaijani Cyrillic,az-Cyrl-AZ," !""%()*+-./0123456789:;=?@\_`|~ЈАБВГДЕЖЗИКЛМНОПРСТУФХЧШЫабвгдежзиклмнопрстуфхчшыјҒғҜҝҮүҸҹҺһӘәӨө₼№",98,KBDAZE.ldml,KBDAZE
Persian (Standard),fa-IR, !()*+-./:<=>[\]{|}«»×،؛؟ءآأؤإئابةتثجحخدذرریالزسشصضطظعغـفقكلمنهوئًٌٍَُِّْ٪٫٬ٰپچژکگی۰۱۲۳۴۵۶۷۸۹‌‍‎‏,95,kbdfar.ldml,kbdfar
